application_id,cid,loan_product_id,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,debt_to_income_ratio,application_date,status
1,8120,19,13535,14.79,10,634,58987,0.13,2024-08-06,approved
2,5559,17,173979,8.68,33,665,81182,0.3,2024-08-23,approved
3,3730,13,7967,9.64,7,788,21580,0.35,2024-06-30,approved
4,3656,4,28517,9.12,36,764,30590,0.47,2025-01-13,approved
5,8270,3,135653,2.58,281,612,41052,0.2,2023-03-20,rejected
6,730,11,43219,5.07,45,659,19145,0.21,2024-12-29,rejected
7,5178,19,12975,6.73,17,712,39418,0.17,2022-09-17,rejected
8,9768,19,10468,8.43,20,657,63508,0.49,2024-07-30,approved
9,7902,10,4740,8.78,27,659,64292,0.12,2023-09-02,rejected
10,7732,11,37550,8.78,24,677,57697,0.57,2022-12-26,rejected
11,2010,10,3959,8.94,29,661,77248,0.43,2024-09-06,approved
12,5663,19,8889,12.56,7,688,78047,0.53,2023-11-04,rejected
13,5992,7,191556,6.7,26,677,34489,0.45,2024-03-02,approved
14,3949,16,174926,7.28,81,675,63350,0.35,2023-12-17,approved
15,71,8,46662,7.38,126,644,20260,0.35,2023-10-07,approved
16,5553,1,21672,7.65,43,744,60289,0.38,2023-09-25,rejected
17,6575,10,3013,10.44,14,623,42223,0.18,2022-06-10,approved
18,9386,2,38605,5.69,72,602,68116,0.18,2023-11-09,approved
19,7522,5,178150,9.18,58,684,40464,0.52,2024-10-31,approved
20,4902,5,188093,6.78,48,720,71500,0.21,2024-05-23,approved
21,8444,3,409996,3.14,256,677,61230,0.45,2023-11-11,approved
22,490,4,13924,5.79,29,709,61886,0.27,2023-04-02,approved
23,4181,3,124764,4.18,216,681,46098,0.28,2022-05-23,rejected
24,8904,18,38659,3.29,47,613,69075,0.26,2022-12-20,approved
25,6656,5,180154,5.26,114,586,66419,0.34,2024-04-09,rejected
26,1148,20,20028,6.4,46,646,95165,0.12,2022-07-20,approved
27,4029,2,18805,4.4,34,676,42042,0.5,2022-11-18,approved
28,7766,17,196283,5.21,31,657,91992,0.17,2023-03-26,approved
29,3924,1,6169,13.76,55,718,44068,0.25,2023-05-27,approved
30,2418,10,4118,14.82,22,682,65469,0.29,2024-06-12,approved
31,8673,14,8449,11.88,22,736,76881,0.32,2024-06-21,rejected
32,6555,16,166576,4.7,36,699,52500,0.32,2024-01-06,approved
33,7081,10,4851,10.96,25,701,63193,0.25,2024-11-15,rejected
34,8382,18,13941,6.44,45,706,78277,0.13,2023-04-06,approved
35,960,8,28594,7.92,156,660,73656,0.45,2024-07-14,approved
36,6912,18,9078,4.67,29,720,269,0.55,2022-06-18,rejected
37,8693,10,2297,7.18,22,692,73769,0.54,2024-09-03,approved
38,1789,16,439951,7.59,101,660,46085,0.29,2024-09-12,approved
39,8373,8,45903,3.68,154,740,73364,0.14,2023-02-16,approved
40,4342,11,15951,12.33,48,566,65589,0.26,2024-01-08,rejected
41,7884,5,92711,10.06,26,627,60660,0.55,2024-12-07,rejected
42,6838,13,4786,10.87,16,714,39380,0.26,2022-10-16,rejected
43,7992,10,3507,16.63,34,643,24959,0.41,2025-03-08,rejected
44,6980,8,49174,4.31,203,726,63965,0.15,2024-07-26,rejected
45,470,5,27839,9.73,16,622,44616,0.43,2025-03-25,approved
46,4871,13,8997,15.94,9,742,32661,0.3,2025-03-02,approved
47,6602,19,12079,7.08,8,668,52313,0.35,2023-01-14,approved
48,2445,17,134864,8.24,13,728,62345,0.49,2025-03-15,approved
49,9921,15,488158,2.27,170,715,822,0.13,2023-06-13,rejected
50,4143,4,36413,9.21,74,740,66505,0.48,2023-07-12,rejected
51,8145,18,24961,5.88,53,703,75174,0.6,2025-01-26,approved
52,1185,3,126193,4.02,216,761,36691,0.4,2023-06-05,approved
53,2097,5,114143,5.78,75,638,77998,0.21,2023-08-03,rejected
54,9143,13,1115,10.55,17,624,35399,0.38,2024-02-04,approved
55,560,7,210708,5.52,29,636,38816,0.13,2022-12-05,rejected
56,3709,5,182517,11.55,86,781,75808,0.46,2023-05-31,approved
57,730,17,160680,6.31,48,659,19145,0.5,2025-03-11,approved
58,7912,13,1008,12.13,13,641,61153,0.46,2025-03-17,approved
59,4231,18,12676,4.17,32,726,104691,0.21,2024-02-05,approved
60,5298,16,303824,6.66,67,679,51562,0.47,2022-07-22,approved
61,9608,1,14337,12.41,16,735,26055,0.55,2024-09-10,rejected
62,1259,18,28433,3.17,29,625,29120,0.51,2023-08-25,approved
63,7256,16,217525,8.13,112,661,76427,0.12,2024-12-30,rejected
64,3462,3,234821,3.14,291,663,92972,0.22,2023-12-04,approved
65,7752,7,31071,8.85,63,652,66401,0.49,2023-09-02,approved
66,4675,9,185748,3.92,294,634,36895,0.15,2023-12-25,approved
67,1833,2,42683,5.97,38,776,40968,0.46,2023-02-14,approved
68,9213,9,496413,3.29,300,643,51753,0.58,2023-06-07,rejected
69,1557,3,218511,4.76,192,741,40934,0.17,2025-02-27,rejected
70,3282,13,5293,15.91,13,644,61109,0.5,2022-12-15,approved
71,8090,15,29334,3.45,353,617,62239,0.55,2022-05-16,rejected
72,1299,5,100709,6.67,60,685,54139,0.59,2022-08-18,rejected
73,7440,14,29021,9.4,29,643,75239,0.14,2023-08-26,rejected
74,3339,20,40776,5.23,46,762,65820,0.13,2022-05-22,rejected
75,5561,20,16759,9.16,48,677,46517,0.33,2023-01-01,approved
76,3473,14,8711,9.88,24,673,47119,0.19,2023-05-05,approved
77,5144,5,87400,7.27,19,727,41813,0.28,2023-02-13,approved
78,6475,15,342648,4.6,207,726,47842,0.41,2024-08-29,rejected
79,6921,12,21326,6.09,30,764,71102,0.28,2023-07-19,approved
80,1914,16,410723,6.43,68,725,69303,0.11,2024-10-24,rejected
81,7225,7,135340,8.22,39,657,20283,0.25,2023-06-05,rejected
82,5797,13,3357,10.03,17,604,45071,0.46,2023-06-12,approved
83,6344,12,10412,7.85,18,672,67424,0.14,2024-12-23,rejected
84,2029,8,22408,7.23,145,725,27274,0.26,2022-05-26,rejected
85,177,20,44444,5.38,23,628,10035,0.13,2023-12-10,approved
86,6612,13,2278,13.02,14,752,38673,0.55,2023-09-24,approved
87,1977,9,488855,3.93,138,703,52160,0.34,2023-10-10,approved
88,3829,1,13742,14.13,22,591,70110,0.19,2024-02-10,approved
89,7903,16,226492,6.74,96,720,20204,0.47,2022-12-19,rejected
90,8115,10,1792,7.03,12,739,63186,0.37,2025-03-11,approved
91,7794,15,289254,4.84,184,720,83358,0.12,2023-10-30,approved
92,2353,2,24210,5.41,66,697,51192,0.32,2023-05-19,approved
93,9844,14,13460,6.39,15,568,71586,0.54,2024-07-27,rejected
94,7294,9,226714,2.79,206,574,51773,0.36,2022-12-12,rejected
95,5830,16,352967,8.52,73,733,57195,0.55,2023-08-11,approved
96,7938,7,111531,5.16,90,760,51019,0.53,2022-11-22,approved
97,177,16,442807,5.1,44,628,10035,0.22,2022-11-10,rejected
98,424,9,196005,2.6,253,660,70430,0.35,2023-11-26,rejected
99,7460,3,397215,3.92,234,628,76926,0.16,2023-10-05,approved
100,7449,3,132097,3.86,226,567,38567,0.37,2023-01-05,rejected
101,4578,1,9058,14.4,34,815,48461,0.37,2022-11-18,approved
102,3229,15,249372,4.92,110,553,18079,0.31,2023-06-28,rejected
103,1324,19,4679,6.71,16,669,77944,0.14,2025-02-20,approved
104,7394,8,20360,5.35,228,689,55775,0.34,2023-12-27,approved
105,5256,10,4890,11.67,18,706,55232,0.22,2024-11-07,rejected
106,8415,20,23457,14.14,41,634,48251,0.5,2022-09-15,rejected
107,7711,18,43780,4.65,31,668,92755,0.23,2024-02-03,rejected
108,9267,3,348888,4.52,318,723,26049,0.47,2024-10-16,rejected
109,1591,7,28916,6.87,35,670,42210,0.49,2023-09-26,approved
110,5233,10,1896,13.32,26,732,70555,0.14,2022-07-14,approved
111,4936,17,59346,8.81,14,718,34951,0.18,2023-01-31,approved
112,2827,20,1844,6.97,16,653,51298,0.55,2024-10-15,rejected
113,7081,8,43951,4.66,218,701,63193,0.4,2023-07-15,approved
114,3584,11,25101,12.34,30,722,54789,0.36,2024-03-01,rejected
115,9216,4,36995,7.5,91,596,52049,0.52,2023-03-02,approved
116,5130,5,128761,6.74,78,683,33651,0.18,2023-10-08,rejected
117,7277,4,15667,6.93,45,732,77375,0.1,2022-11-24,rejected
118,8880,18,25841,5.99,57,668,44954,0.55,2024-04-04,rejected
119,759,12,39785,4.3,45,679,49019,0.4,2023-12-29,rejected
120,7272,17,74888,9.44,24,634,38902,0.2,2024-10-28,rejected
121,6847,8,17971,5.75,228,686,57264,0.52,2024-03-07,approved
122,3299,2,23955,3.22,46,623,35665,0.39,2023-03-23,approved
123,4299,4,7236,9.99,33,649,11864,0.46,2025-02-18,rejected
124,2170,9,366378,3.09,173,602,66271,0.46,2024-08-28,rejected
125,7108,7,25419,4.82,95,679,64043,0.26,2022-08-15,approved
126,6098,5,22861,7.34,46,695,67371,0.38,2023-03-06,rejected
127,5023,18,40580,6.0,32,591,57439,0.29,2024-12-16,rejected
128,5506,12,21047,4.17,16,686,33903,0.37,2024-10-16,approved
129,1286,12,11644,6.97,42,627,41278,0.21,2023-05-13,rejected
130,4022,10,3258,17.94,10,751,76238,0.38,2023-10-19,approved
131,792,18,32712,5.05,58,761,65360,0.51,2022-04-18,approved
132,7547,15,293575,3.48,157,610,54928,0.36,2023-03-13,rejected
133,654,4,32122,7.86,62,656,58194,0.53,2023-07-13,approved
134,6541,15,73340,3.93,154,664,60816,0.2,2024-06-11,rejected
135,60,12,23064,5.4,41,660,22487,0.32,2024-10-27,rejected
136,7793,17,114232,5.86,46,708,57584,0.18,2024-03-21,approved
137,4218,17,195572,9.0,31,730,40806,0.29,2024-01-09,approved
138,9295,5,36894,10.47,67,679,50985,0.56,2022-05-21,rejected
139,9930,3,428494,4.63,257,664,66589,0.13,2024-05-18,approved
140,984,5,117459,10.95,96,592,14125,0.43,2022-10-12,rejected
141,2804,18,15582,5.51,44,709,34397,0.44,2022-05-22,approved
142,5669,3,350714,4.92,198,750,64681,0.23,2025-01-04,approved
143,4854,11,49758,7.26,13,712,61067,0.54,2023-06-12,approved
144,7131,5,56134,10.46,79,581,46688,0.27,2024-12-10,approved
145,7292,2,18929,6.72,79,620,24291,0.43,2023-10-03,approved
146,1031,16,213326,6.35,71,713,70584,0.43,2025-01-22,approved
147,5747,15,277430,2.87,134,669,48459,0.12,2024-06-22,approved
148,5723,1,7412,9.53,45,783,33172,0.45,2024-07-04,approved
149,8201,17,194891,6.66,49,631,59484,0.6,2022-05-01,approved
150,1796,8,48649,4.25,166,730,118283,0.46,2023-09-15,approved
151,1733,4,34851,9.51,86,622,38540,0.54,2023-03-27,approved
152,4337,4,15121,6.59,94,667,28724,0.33,2022-11-14,rejected
153,3315,5,177103,10.14,109,739,57081,0.55,2023-12-27,rejected
154,5583,19,4978,7.36,12,691,53286,0.38,2023-10-12,approved
155,6907,19,11136,13.16,8,547,67091,0.5,2022-06-14,approved
156,7295,16,266885,8.68,51,672,37927,0.22,2022-04-05,approved
157,8355,14,28061,9.61,30,785,87008,0.17,2023-06-01,approved
158,703,13,5473,13.29,14,680,50531,0.26,2023-11-22,rejected
