tid,cid,pid,amount,purchase_date,payment_mode
1,2629,7,102.6,2025-01-01 01:32:19.843778,Debit
2,4317,7,67.65,2025-03-07 05:49:41.114753,Debit
3,4492,26,1662.68,2025-03-16 05:51:46.953256,Net Banking
4,2138,28,266.03,2025-01-09 09:26:35.719164,Net Banking
5,6259,18,1087.32,2025-03-11 13:19:13.572634,Credit
6,7948,8,657.0,2025-03-18 20:42:47.869060,Debit
7,4576,24,150.32,2025-02-12 20:42:55.371857,Debit
8,3640,28,915.75,2025-03-24 06:59:52.509194,Net Banking
9,860,19,3177.5,2025-02-17 08:49:17.570645,Credit
10,4892,11,531.74,2025-03-09 18:48:51.042883,Wire Transfer
11,8471,16,170.84,2025-01-12 12:29:55.042123,Wire Transfer
12,8423,16,566.55,2025-02-04 17:46:40.071422,Wire Transfer
13,2912,25,203.96,2025-02-08 22:17:40.457778,Net Banking
14,7065,2,769.02,2025-02-18 22:04:00.128127,Net Banking
15,5799,13,629.31,2025-02-13 21:43:04.706827,Credit
16,318,18,599.44,2025-01-25 19:23:31.270757,Wire Transfer
17,3310,6,89.49,2025-03-20 21:51:47.199060,Wire Transfer
18,2837,13,1544.7599999999998,2025-02-17 00:32:00.990788,Debit
19,4904,28,640.52,2025-02-14 16:03:45.196122,Debit
20,7352,6,323.54999999999995,2025-03-02 09:06:01.499774,Credit
21,4390,28,572.68,2025-02-06 07:18:02.291386,Wire Transfer
22,3720,7,54.98,2025-03-06 23:57:27.549245,Credit
23,6534,16,168.64,2025-03-16 07:58:09.500192,Net Banking
24,3268,10,929.32,2025-01-24 23:17:47.745869,Credit
25,7555,27,30.26,2025-01-08 23:08:23.744149,Wire Transfer
26,6166,14,262.46999999999997,2025-03-15 22:26:02.438511,Debit
27,2032,23,13603.349999999999,2025-02-09 00:26:13.652761,Net Banking
28,8414,16,418.53,2025-02-22 11:17:39.721198,Debit
29,6730,3,4115.77,2025-01-30 19:27:05.256510,Wire Transfer
30,7505,26,920.28,2025-03-22 03:22:21.364726,Net Banking
31,3439,16,279.76,2025-03-21 11:12:21.885950,Wire Transfer
32,9092,1,1825.68,2025-02-06 20:21:45.887616,Wire Transfer
33,4657,2,208.44,2025-03-03 22:11:36.324944,Wire Transfer
34,8083,24,162.6,2025-03-18 01:06:58.782179,Wire Transfer
35,6162,12,300.96,2025-02-22 15:39:52.772015,Debit
36,7474,23,9741.64,2025-01-09 13:22:27.643610,Net Banking
37,6363,23,3900.64,2025-02-01 02:23:50.122337,Credit
38,5835,20,610.28,2025-03-02 18:26:26.868149,Net Banking
39,3310,21,151.86,2025-02-15 08:51:01.421015,Credit
40,3981,29,6059.68,2025-02-04 17:17:20.578717,Net Banking
41,6352,6,121.31,2025-02-24 00:05:57.111354,Wire Transfer
42,1054,20,769.71,2025-01-01 10:52:52.557867,Credit
43,1995,11,766.74,2025-01-22 08:51:43.316715,Credit
44,5542,11,896.0,2025-02-19 15:55:13.827404,Credit
45,922,6,236.22,2025-02-06 08:15:43.533029,Wire Transfer
46,7732,1,986.76,2025-02-01 04:46:50.077144,Net Banking
47,1127,21,449.61,2025-01-06 04:05:23.043862,Wire Transfer
48,7222,6,266.49,2025-02-02 22:14:06.545300,Net Banking
49,438,4,318.72,2025-01-25 20:38:30.108022,Wire Transfer
50,5283,22,7.14,2025-01-20 13:00:44.871564,Net Banking
51,2432,12,433.20000000000005,2025-02-08 06:04:44.991640,Credit
52,7175,9,1190.46,2025-01-09 12:59:11.457950,Credit
53,4080,3,4309.86,2025-03-20 08:59:12.398600,Debit
54,4956,3,20695.04,2025-03-11 22:14:24.794746,Credit
55,1983,22,21.63,2025-01-25 23:43:01.919383,Wire Transfer
56,6799,21,120.17,2025-01-17 13:29:56.782355,Wire Transfer
57,9935,30,67.92,2025-01-17 02:41:50.696259,Credit
58,8960,6,115.29,2025-02-12 20:15:17.105452,Credit
59,9963,26,1105.86,2025-02-04 08:44:20.883239,Net Banking
60,1155,30,250.6,2025-01-27 05:25:39.004272,Wire Transfer
61,4906,28,330.81,2025-01-24 04:37:15.755454,Wire Transfer
62,7687,7,59.58,2025-01-01 05:18:44.597291,Credit
63,2453,20,954.12,2025-01-28 00:55:53.906154,Credit
64,3213,27,61.1,2025-01-15 09:17:59.477972,Credit
65,5775,11,610.0,2025-03-15 14:11:06.131790,Wire Transfer
66,6342,21,642.44,2025-03-21 23:03:56.334262,Net Banking
67,8353,23,8876.84,2025-01-26 19:40:59.236764,Debit
68,1723,22,26.8,2025-01-15 10:27:31.185295,Debit
69,176,20,966.2,2025-02-15 04:29:33.980635,Debit
70,5187,23,11447.400000000001,2025-03-08 20:43:01.811760,Credit
71,1660,4,304.01,2025-01-14 02:25:05.424400,Credit
72,7196,19,4163.6,2025-03-05 08:32:03.483665,Wire Transfer
73,367,26,1926.04,2025-03-03 13:23:10.867754,Net Banking
74,3185,5,125.84,2025-03-06 04:16:59.188961,Credit
75,426,8,244.49,2025-01-15 16:43:02.764120,Wire Transfer
76,1856,16,297.26,2025-03-08 23:15:06.401236,Wire Transfer
77,3271,18,290.98,2025-03-11 20:53:51.268565,Net Banking
78,7881,2,826.6200000000001,2025-02-14 05:56:23.080419,Debit
79,7592,19,1952.75,2025-03-06 23:59:05.017168,Wire Transfer
80,2481,11,943.6800000000001,2025-03-07 15:34:03.103516,Debit
81,4663,25,214.92000000000002,2025-02-01 18:02:21.762467,Wire Transfer
82,9773,29,6702.4,2025-02-12 02:48:13.779613,Credit
